                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5836,                 2.9466,                 2.5544,                 1.4295,                0.68581,                0.67068,                0.67511,                0.44128,                0.60828,                 0.5743,                0.52936,                0.17507,                 1.1592,                 1.1954,                 1.3001,                   0.96,                  0.073,                  0.003,                  0.003
                      1,                 1.0357,                 1.4418,                 1.0566,                 1.0698,                0.64667,                0.67871,                0.67215,                0.44179,                0.59712,                0.61904,                  0.578,                0.19753,                 1.2716,                 1.1756,                 1.2785,                0.99054,                0.04507,              0.0060698,              0.0060698
                      2,                 1.0979,                 1.4195,                 1.0682,                 1.0935,                0.68052,                0.59036,                0.62171,                0.36371,                0.57426,                0.45504,                0.42208,                0.12518,                 1.3688,                 1.3913,                 2.7774,                 1.0899,               0.017109,              0.0091089,              0.0091089
                      3,                 1.1818,                 1.4489,                 1.1103,                 1.1229,                0.53514,                0.61044,                0.52967,                0.27572,                 0.4551,                 0.5261,                 0.3529,                0.09922,                 1.5336,                 1.3988,                 2.9199,                 1.2797,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1572,                 1.4182,                  1.055,                 1.1248,                0.03108,                0.11245,                0.00847,                0.00231,                0.01339,                0.06221,                0.00221,                0.00058,                 3.5106,                 3.5051,                 7.2874,                 3.0011,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1397,                 1.4368,                 1.0366,                 1.1267,                0.57629,                0.51004,                0.50668,                0.27252,                0.53678,                0.51406,                0.44412,                0.13303,                 1.6561,                 1.2978,                 3.3756,                 1.4972,               0.009802,               0.009802,               0.009802
                      6,                 1.1207,                  1.393,                  1.009,                  1.126,                0.59651,                 0.6506,                0.59922,                0.36937,                0.48729,                0.53414,                0.41604,                0.13062,                 1.2936,                 1.3279,                 1.6003,                 1.1103,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.096,                 1.4057,                0.99336,                 1.1054,                0.64877,                0.68989,                0.60201,                0.35539,                0.55441,                 0.6246,                0.45577,                0.14299,                 1.3466,                 1.2019,                 1.8773,                 1.0934,               0.009703,               0.009703,               0.009703
                      8,                 1.0761,                 1.3869,                0.96775,                 1.1062,                0.55455,                0.60996,                0.56828,                 0.3619,                0.47689,                0.52356,                0.41572,                0.13939,                 1.3764,                 1.1838,                 1.6613,                 1.2408,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0605,                 1.3762,                0.94185,                 1.1043,                0.70576,                0.68392,                0.67424,                0.45523,                0.66298,                0.61847,                0.54024,                0.17991,                 1.1637,                 1.1325,                 1.3032,                0.98344,               0.009604,               0.009604,               0.009604
