                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.282,                 2.0957,                 1.6258,                0.56278,                0.60909,                0.58184,                0.36793,                  1.078,                  1.222,                  1.516,                0.07039,                0.00329,                0.00329
                      1,                 1.1381,                 1.3256,                 1.4652,                0.53115,                0.50972,                0.53461,                 0.3182,                 1.2114,                 1.2897,                 1.6594,               0.040324,              0.0065578,              0.0065578
                      2,                 1.2037,                 1.3481,                 1.5258,                0.45263,                0.45879,                 0.4118,                0.21912,                 1.5329,                 1.6812,                 2.0537,               0.010192,              0.0097596,              0.0097596
                      3,                 1.3347,                 1.5395,                 1.6362,                0.33718,                0.16673,                0.22438,                0.12856,                 1.5366,                  4.186,                 2.0609,               0.009703,               0.009703,               0.009703
                      4,                 1.3514,                 1.5134,                 1.6582,                 0.3471,                0.45595,                   0.33,                0.17477,                 1.6242,                 2.2844,                  2.295,               0.009703,               0.009703,               0.009703
                      5,                 1.3467,                 1.5342,                 1.6629,                0.42399,                0.44784,                0.42533,                0.22528,                 1.4697,                 1.5949,                 2.0552,               0.009604,               0.009604,               0.009604
                      6,                 1.3267,                 1.4823,                 1.6383,                0.34324,                0.47418,                0.43102,                0.23149,                  1.419,                 1.5602,                 1.9506,               0.009505,               0.009505,               0.009505
                      7,                 1.3204,                  1.481,                 1.6188,                0.54161,                0.46031,                0.47488,                   0.27,                 1.3223,                 1.3343,                 1.7913,               0.009406,               0.009406,               0.009406
                      8,                 1.2818,                 1.4001,                 1.5904,                0.44372,                0.52178,                0.49102,                0.28147,                 1.2925,                 1.3393,                 1.7893,               0.009307,               0.009307,               0.009307
                      9,                 1.2613,                 1.3942,                 1.5885,                0.39809,                0.54573,                0.49077,                0.28516,                 1.3063,                 1.3039,                 1.7846,               0.009208,               0.009208,               0.009208
                     10,                  1.238,                 1.3594,                 1.5735,                0.50868,                0.53031,                0.50016,                0.28609,                 1.2594,                 1.3394,                 1.7157,               0.009109,               0.009109,               0.009109
                     11,                 1.2126,                 1.3034,                 1.5486,                0.49101,                0.49369,                0.49542,                0.28596,                 1.2611,                  1.328,                 1.7114,                0.00901,                0.00901,                0.00901
                     12,                 1.2139,                 1.2701,                  1.534,                0.58493,                0.60327,                0.58733,                0.34682,                 1.2295,                 1.1007,                 1.7003,               0.008911,               0.008911,               0.008911
                     13,                 1.1981,                 1.2622,                  1.521,                0.54291,                0.56984,                0.55247,                0.32926,                 1.2337,                 1.1965,                 1.7055,               0.008812,               0.008812,               0.008812
                     14,                 1.1757,                 1.2036,                 1.5113,                0.62848,                0.60723,                0.63101,                0.36609,                 1.1978,                 1.0734,                  1.643,               0.008713,               0.008713,               0.008713
                     15,                 1.1729,                 1.1984,                 1.5149,                0.50344,                  0.594,                0.55349,                0.33842,                 1.1901,                 1.1684,                 1.6426,               0.008614,               0.008614,               0.008614
                     16,                 1.1777,                 1.1911,                 1.4984,                0.58298,                0.58009,                0.59607,                0.35074,                 1.2266,                 1.1224,                 1.6467,               0.008515,               0.008515,               0.008515
                     17,                 1.1443,                 1.1677,                 1.4858,                0.66757,                0.58395,                0.63881,                0.37943,                 1.1525,                 1.0341,                 1.6053,               0.008416,               0.008416,               0.008416
                     18,                 1.1348,                 1.1472,                 1.4743,                 0.5705,                0.62643,                0.63885,                0.38306,                 1.1357,                 1.0414,                 1.5897,               0.008317,               0.008317,               0.008317
                     19,                  1.126,                 1.1337,                 1.4725,                 0.6492,                 0.6247,                0.66799,                0.39964,                 1.1651,                0.96173,                  1.594,               0.008218,               0.008218,               0.008218
                     20,                 1.1176,                 1.1339,                 1.4684,                 0.6269,                0.60147,                 0.6252,                0.38621,                 1.1865,                 1.0605,                 1.6141,               0.008119,               0.008119,               0.008119
                     21,                 1.0998,                 1.1029,                  1.439,                0.62536,                0.61263,                0.67311,                0.40392,                 1.1196,                0.95235,                 1.5753,                0.00802,                0.00802,                0.00802
                     22,                 1.0713,                 1.0646,                 1.4222,                0.61673,                0.64682,                0.65527,                 0.4049,                 1.0919,                0.92569,                 1.5383,               0.007921,               0.007921,               0.007921
                     23,                 1.0699,                 1.0539,                 1.4272,                0.68684,                0.64406,                0.69437,                0.42806,                 1.1031,                0.92514,                 1.5641,               0.007822,               0.007822,               0.007822
                     24,                  1.067,                 1.0408,                 1.4277,                0.70618,                0.63875,                0.70161,                0.42129,                 1.1285,                0.96532,                 1.5626,               0.007723,               0.007723,               0.007723
                     25,                 1.0445,                 1.0159,                 1.4037,                0.60584,                0.68978,                0.67655,                0.43242,                 1.1139,                   0.91,                 1.5648,               0.007624,               0.007624,               0.007624
                     26,                 1.0517,                0.99274,                    1.4,                0.65685,                0.65684,                0.68477,                 0.4334,                 1.1056,                0.93557,                 1.5536,               0.007525,               0.007525,               0.007525
                     27,                 1.0514,                0.99314,                 1.4007,                0.73411,                0.63345,                0.72268,                0.46051,                 1.0622,                0.86286,                 1.4959,               0.007426,               0.007426,               0.007426
                     28,                 1.0376,                0.96011,                 1.3889,                 0.7001,                0.67728,                0.72703,                0.46697,                  1.084,                0.87285,                 1.5297,               0.007327,               0.007327,               0.007327
                     29,                 1.0297,                0.94861,                 1.3855,                0.65786,                0.65954,                0.69452,                0.43564,                  1.103,                0.93375,                 1.5104,               0.007228,               0.007228,               0.007228
                     30,                 1.0259,                0.93407,                  1.381,                0.68241,                0.70621,                0.72734,                0.46817,                  1.086,                0.85062,                 1.5072,               0.007129,               0.007129,               0.007129
                     31,                 1.0039,                0.93924,                 1.3729,                0.69738,                0.66167,                0.71838,                0.45612,                 1.1056,                0.91546,                 1.5614,                0.00703,                0.00703,                0.00703
                     32,                0.99082,                0.90501,                 1.3632,                0.72457,                0.69013,                0.73866,                0.47105,                 1.0614,                0.82295,                 1.4922,               0.006931,               0.006931,               0.006931
                     33,                0.99825,                0.91963,                 1.3651,                0.70688,                 0.6802,                0.73036,                0.45933,                 1.0581,                0.85042,                 1.5094,               0.006832,               0.006832,               0.006832
                     34,                0.99254,                0.91133,                 1.3614,                 0.7483,                0.66758,                0.73185,                0.46305,                 1.0581,                0.84898,                 1.4954,               0.006733,               0.006733,               0.006733
                     35,                0.97922,                0.89064,                 1.3554,                0.74332,                0.68378,                0.75344,                0.47398,                 1.0622,                0.83196,                 1.4984,               0.006634,               0.006634,               0.006634
                     36,                0.97308,                0.87569,                 1.3444,                0.67705,                 0.6911,                0.72716,                0.46761,                  1.056,                0.84729,                 1.4975,               0.006535,               0.006535,               0.006535
                     37,                0.95567,                0.83137,                 1.3413,                0.71535,                0.70317,                0.76015,                 0.4945,                 1.0317,                0.77597,                 1.4817,               0.006436,               0.006436,               0.006436
                     38,                0.94203,                 0.8183,                 1.3256,                0.74266,                0.70566,                0.73677,                0.47809,                   1.05,                0.82467,                 1.5066,               0.006337,               0.006337,               0.006337
                     39,                0.94192,                0.81865,                 1.3255,                0.71409,                0.72675,                 0.7541,                0.48403,                 1.0659,                0.78742,                 1.5242,               0.006238,               0.006238,               0.006238
                     40,                0.95033,                0.83759,                 1.3477,                0.70537,                0.69853,                0.73903,                0.48277,                 1.0436,                0.82273,                 1.5011,               0.006139,               0.006139,               0.006139
                     41,                0.94128,                0.81677,                 1.3228,                0.73581,                0.73106,                0.77757,                 0.4965,                 1.0454,                0.78445,                 1.5298,                0.00604,                0.00604,                0.00604
                     42,                0.94171,                0.80219,                 1.3263,                0.76343,                0.68881,                0.74893,                0.49378,                 1.0462,                0.84161,                 1.4942,               0.005941,               0.005941,               0.005941
                     43,                0.93284,                0.78637,                 1.3068,                0.76903,                0.69548,                0.75416,                0.48586,                 1.0457,                0.80138,                 1.4846,               0.005842,               0.005842,               0.005842
                     44,                0.89386,                0.75091,                 1.2923,                0.72273,                0.70286,                0.76112,                0.49608,                 1.0713,                0.82392,                 1.5208,               0.005743,               0.005743,               0.005743
                     45,                0.89702,                0.74649,                 1.2917,                0.77133,                0.72106,                0.78531,                0.51246,                 1.0428,                0.77066,                 1.4979,               0.005644,               0.005644,               0.005644
                     46,                 0.9058,                0.75745,                 1.2917,                0.78158,                0.72854,                0.78917,                0.51177,                 1.0435,                0.75213,                 1.5122,               0.005545,               0.005545,               0.005545
                     47,                0.90096,                0.73666,                  1.294,                0.75396,                0.72715,                0.77579,                0.50606,                 1.0389,                0.78249,                 1.5076,               0.005446,               0.005446,               0.005446
                     48,                 0.8848,                0.74206,                 1.2824,                0.77205,                0.70837,                0.78107,                0.51621,                 1.0381,                0.77797,                 1.4912,               0.005347,               0.005347,               0.005347
                     49,                0.85607,                0.70367,                 1.2683,                0.78091,                0.70441,                0.78328,                0.51986,                 1.0241,                0.76572,                 1.4958,               0.005248,               0.005248,               0.005248
                     50,                0.87521,                0.71802,                 1.2688,                0.79719,                0.73147,                0.78923,                 0.5266,                 1.0132,                0.73679,                 1.4769,               0.005149,               0.005149,               0.005149
                     51,                0.87276,                0.71116,                 1.2719,                0.81665,                0.72321,                0.79977,                0.52696,                 1.0239,                0.76979,                 1.4819,                0.00505,                0.00505,                0.00505
                     52,                0.84666,                0.69202,                 1.2622,                0.78056,                0.73672,                 0.7853,                0.51219,                 1.0283,                0.78523,                 1.4834,               0.004951,               0.004951,               0.004951
                     53,                0.86244,                0.70298,                 1.2665,                0.79973,                 0.7178,                0.78721,                0.51322,                 1.0333,                0.73849,                 1.4955,               0.004852,               0.004852,               0.004852
                     54,                0.84888,                0.68454,                 1.2502,                0.78617,                0.70226,                0.78004,                0.51431,                 1.0507,                0.79761,                 1.5236,               0.004753,               0.004753,               0.004753
                     55,                0.84055,                0.68001,                 1.2566,                0.78242,                0.74689,                0.79955,                0.53497,                 1.0126,                0.73509,                 1.4809,               0.004654,               0.004654,               0.004654
                     56,                0.83393,                0.65077,                 1.2409,                0.81111,                 0.7203,                0.79372,                 0.5208,                 1.0479,                0.75155,                 1.5209,               0.004555,               0.004555,               0.004555
                     57,                0.81399,                0.64383,                 1.2386,                0.77566,                0.73938,                0.80382,                0.53969,                 1.0082,                 0.7135,                 1.4622,               0.004456,               0.004456,               0.004456
